No.,tf_torch,torch_mnn,tf_mnn,tf_time,torch_time,mnn_time
22,1.9532518e-08,2.996421e-08,1.0431691e-08,0.011684894561767578,9.441375732421875e-05,3.4809112548828125e-05
23,1.8980929e-08,3.3462182e-08,2.1487446e-08,0.010986804962158203,9.298324584960938e-05,3.528594970703125e-05
24,2.6207724e-08,2.1718684e-08,6.50244e-08,0.002338886260986328,8.058547973632812e-05,3.218650817871094e-05
25,3.4907238e-08,1.38571075e-08,1.7917063e-08,0.019712448120117188,9.72747802734375e-05,3.6716461181640625e-05
26,4.2575024e-08,8.214135e-09,5.078916e-08,0.002447366714477539,7.82012939453125e-05,3.266334533691406e-05
27,6.552001e-08,5.4136528e-08,4.2527823e-08,0.01892995834350586,9.799003601074219e-05,3.790855407714844e-05
28,1.9875737e-08,4.969432e-08,3.8925286e-08,0.0025658607482910156,8.0108642578125e-05,3.24249267578125e-05
29,4.926031e-08,6.446849e-08,1.5208181e-08,0.011456489562988281,0.0001010894775390625,3.695487976074219e-05
30,4.6886974e-08,7.297681e-08,6.3322744e-08,0.010965824127197266,9.942054748535156e-05,3.9577484130859375e-05
31,5.3795993e-08,4.1651553e-09,1.865307e-08,0.002780914306640625,0.00010156631469726562,3.504753112792969e-05
32,3.924264e-08,1.6000069e-08,5.5242708e-08,0.01516866683959961,9.608268737792969e-05,3.790855407714844e-05
33,2.5691156e-08,2.569116e-08,0.0,0.0028209686279296875,9.965896606445312e-05,3.314018249511719e-05
34,1.6809109e-08,6.7189035e-08,9.8122584e-08,0.0027663707733154297,8.273124694824219e-05,3.24249267578125e-05
35,5.6235713e-08,2.8481018e-08,7.1724365e-08,0.0028476715087890625,8.487701416015625e-05,3.361701965332031e-05
36,3.2734313e-08,4.0565745e-08,7.330006e-08,0.01167440414428711,9.942054748535156e-05,3.719329833984375e-05
37,3.8736648e-08,8.5137245e-08,4.64006e-08,0.010927677154541016,9.131431579589844e-05,3.409385681152344e-05
38,2.8560043e-08,1.9819044e-08,8.740999e-09,0.018996238708496094,9.918212890625e-05,3.743171691894531e-05
39,1.9156822e-08,2.5966784e-11,1.9078923e-08,0.003129720687866211,8.702278137207031e-05,3.361701965332031e-05
40,2.7422285e-08,9.016934e-08,8.753518e-08,0.018848419189453125,0.00010228157043457031,3.695487976074219e-05
41,2.1975143e-08,2.9183742e-08,1.6656417e-08,0.003298044204711914,7.891654968261719e-05,2.5033950805664062e-05
42,6.1189436e-09,2.8139256e-08,3.42582e-08,0.018718481063842773,9.584426879882812e-05,3.6716461181640625e-05
43,3.3629455e-09,4.520229e-08,4.856524e-08,0.014978170394897461,9.512901306152344e-05,3.552436828613281e-05
44,2.6294344e-09,5.16376e-08,6.4279817e-09,0.0032999515533447266,8.249282836914062e-05,3.24249267578125e-05
45,1.0511558e-08,6.6637007e-10,4.4257696e-08,0.0032968521118164062,8.320808410644531e-05,3.2901763916015625e-05
46,1.7514701e-10,6.3397607e-09,6.1646137e-09,0.01447606086730957,9.489059448242188e-05,3.695487976074219e-05
47,8.0470066e-08,7.914698e-08,1.2613738e-07,0.0035085678100585938,8.654594421386719e-05,3.457069396972656e-05
