No.,tf_torch,torch_mnn,tf_mnn,torch_time,tf_time,mnn_time
311,1.76E-05,0.6773076,0.67730755,0.000197411,0.058841944,5.03E-05
312,1.02E-08,0.5731638,0.5731643,0.000172853,0.096741199,5.20E-05
313,4.70E-08,1.3670752,1.3670751,0.000189543,0.097014904,4.84E-05
314,1.97E-07,0.41730562,0.41730565,0.000185251,0.08677578,5.05E-05
315,8.54E-07,0.48074785,0.48074755,0.00017643,0.085398436,4.79E-05
316,1.84E-09,1.6431427,1.6431429,0.000177383,0.087197781,4.86E-05
317,1.88E-08,8.47928,8.47928,0.000179529,0.095104694,4.77E-05
318,6.41E-07,1.3245758,1.3245759,0.000178814,0.077405214,4.77E-05
319,3.96E-08,69.49194,69.49194,0.000185251,0.090085745,5.01E-05
320,2.35E-08,1.7238877,1.7238876,0.000186205,0.08286047,4.94E-05
321,4.65E-08,0.24765724,0.24765714,0.000194073,0.098821163,4.79E-05
322,1.90E-07,0.31164137,0.31164145,0.000180483,0.0928092,5.20E-05
323,5.74E-08,0.62384886,0.6238488,0.000193119,0.092376232,4.98E-05
324,3.82E-08,0.88903683,0.88903683,0.000185728,0.093073845,4.98E-05
325,8.71E-08,1.530036,1.5300361,0.000181913,0.090647697,5.08E-05
326,3.99E-08,11.824538,11.824538,0.000180006,0.093171597,4.94E-05
327,4.47E-08,0.40242916,0.40242922,0.000180006,0.104326725,4.86E-05
328,1.96E-10,4.8709393,4.8709397,0.000190735,0.079824686,5.01E-05
329,5.91E-08,0.5506896,0.55068946,0.000178814,0.068440676,5.01E-05
330,4.14E-09,18.712936,18.712934,0.000182629,0.043619871,4.94E-05
331,3.31E-08,0.670337,0.67033637,0.000188112,0.044807434,4.98E-05
332,4.58E-08,0.8239596,0.82395965,0.000198364,0.057597399,5.72E-05
333,1.08E-08,0.7418232,0.7418232,0.00018239,0.1168859,5.10E-05
334,1.24E-07,0.7567384,0.75673825,0.000190735,0.094441652,4.94E-05
335,8.85E-09,1.9670056,1.9670058,0.000184774,0.102142334,5.15E-05
336,4.40E-08,4.056796,4.0567966,0.000187397,0.093889952,5.15E-05
337,5.58E-08,7.5450115,7.5450115,0.000188589,0.101217508,5.15E-05
338,9.77E-09,0.033321816,0.033322096,0.000188828,0.127156734,5.60E-05
339,3.51E-08,2.6278102,2.6278102,0.000192881,0.103926182,5.17E-05
340,1.16E-07,6.46469,6.464691,0.000184536,0.09491396,5.15E-05
341,1.37E-08,0.31944153,0.31944138,0.000181675,0.126228333,5.01E-05
342,1.21E-07,1.2977862,1.2977862,0.000182152,0.105078459,4.79E-05
343,2.38E-08,1.1801379,1.1801381,0.000187874,0.095888853,5.03E-05
344,4.71E-08,2.6201346,2.620134,0.000194311,0.047966003,5.13E-05
345,6.01E-08,2.6471045,2.6471045,0.000180244,0.045681238,4.94E-05
346,1.38E-08,10.013269,10.0132675,0.000189781,0.045725822,4.96E-05
347,9.64E-08,0.26281008,0.26281017,0.000180721,0.137703896,4.89E-05
348,2.11E-07,0.111683995,0.11168402,0.000181198,0.110623121,4.84E-05
349,4.35E-08,4.4645486,4.464548,0.00018096,0.046138525,4.91E-05
